userId,highBuyRatio,lowBuyRatio,midBuyRatio,startedAt,highBuyRatioMean,midBuyRatioMean,lowBuyRatioMean,highSellRatio,lowSellRatio,midSellRatio,highSellRatioMean,midSellRatioMean,lowSellRatioMean,highRatio_age,midRatio_age,lowRatio_age,Type,MyhighRatioMean,MymidRatioMean,MylowRatioMean,avgCashRatio,avgCashRatioMean,betBuyRatio,betBuyRatioMean,betSellRatio,betSellRatioMean
d4af0657-f9db-40ff-babd-68681db7ddeb,0.36363636363636365,0.0,0.6363636363636364,2025-06-23T09:33:00,0.29924242424242425,0.40075757575757576,0.3,0.0,0.0,1.0,0.0,0.5,0.0,0.29924242424242425,0.40075757575757576,0.3,Buy,0.36363636363636365,0.6363636363636364,0.0,0.9985,0.9324375,,,,
3ed8a159-adb0-4380-a648-e015cb82690a,0.0,0.0,0.0,2025-06-23T23:12:17,0.21277777777777776,0.2977777777777778,0.4227777777777778,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.21277777777777776,0.2977777777777778,0.4227777777777778,Buy,0.0,0.0,0.0,0.7666666666666667,0.4420444444444444,,,,
237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.0,1.0,0.0,2025-06-23T12:24:36,0.29924242424242425,0.40075757575757576,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.29924242424242425,0.40075757575757576,0.3,Buy,0.27777777777777773,0.32222222222222224,0.39999999999999997,0.90375,0.9324375,,,,
237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.5,0.0,0.5,2025-06-25T09:54:58,0.29924242424242425,0.40075757575757576,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.29924242424242425,0.40075757575757576,0.3,Buy,0.27777777777777773,0.32222222222222224,0.39999999999999997,1.0,0.9324375,,,,
237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.3333333333333333,0.2,0.4666666666666667,2025-06-25T13:29:52,0.29924242424242425,0.40075757575757576,0.3,0.0,0.0,1.0,0.0,0.5,0.0,0.29924242424242425,0.40075757575757576,0.3,Buy,0.27777777777777773,0.32222222222222224,0.39999999999999997,0.8275,0.9324375,,,,
d0a188a3-e24e-4772-95f7-07e59ce8885e,0.0,0.0,1.0,2025-06-23T12:06:02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Buy,0.0,1.0,0.0,0.4,0.25,,,,
8d8a3d15-4058-4e07-8ac6-2089f7f4c459,0.3,0.5,0.2,2025-06-23T13:15:53,0.37222222222222223,0.2111111111111111,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.37222222222222223,0.2111111111111111,0.41666666666666663,Buy,0.37222222222222223,0.2111111111111111,0.41666666666666663,-0.34,-0.0005000000000000004,,,,
8d8a3d15-4058-4e07-8ac6-2089f7f4c459,0.4444444444444444,0.3333333333333333,0.2222222222222222,2025-06-23T13:17:15,0.37222222222222223,0.2111111111111111,0.41666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.37222222222222223,0.2111111111111111,0.41666666666666663,Buy,0.37222222222222223,0.2111111111111111,0.41666666666666663,0.339,-0.0005000000000000004,,,,
2de604dc-68f7-45b7-ad0b-ad1a63a2fc0b,,,,2025-06-23 15:07:49,,,,,,,,,,,,,,,,,,,1.0,0.75,0.0,0.0
2de604dc-68f7-45b7-ad0b-ad1a63a2fc0b,,,,2025-06-23 15:23:55,,,,,,,,,,,,,,,,,,,0.5,0.75,0.0,0.0
2de604dc-68f7-45b7-ad0b-ad1a63a2fc0b,0.37037037037037035,0.25925925925925924,0.37037037037037035,2025-06-23T15:07:49,0.420479302832244,0.4351851851851852,0.1443355119825708,0.37037037037037035,0.25925925925925924,0.37037037037037035,0.4610472541507024,0.39208173690932313,0.14687100893997446,0.420479302832244,0.4351851851851852,0.1443355119825708,Buy,0.420479302832244,0.4351851851851852,0.1443355119825708,0.7533333333333334,0.8614166666666667,,,,
2de604dc-68f7-45b7-ad0b-ad1a63a2fc0b,0.47058823529411764,0.029411764705882353,0.5,2025-06-23T15:23:55,0.420479302832244,0.4351851851851852,0.1443355119825708,0.5517241379310345,0.034482758620689655,0.41379310344827586,0.4610472541507024,0.39208173690932313,0.14687100893997446,0.420479302832244,0.4351851851851852,0.1443355119825708,Buy,0.420479302832244,0.4351851851851852,0.1443355119825708,0.9695,0.8614166666666667,,,,
1b96c620-fa6f-4e4f-b8db-14f939e09fd1,0.3333333333333333,0.16666666666666666,0.5,2025-06-27T11:31:13,0.21277777777777776,0.2977777777777778,0.4227777777777778,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.21277777777777776,0.2977777777777778,0.4227777777777778,Buy,0.3333333333333333,0.5,0.16666666666666666,0.3695,0.4420444444444444,,,,
583335f4-394a-43aa-9873-9abd30d5ea8f,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025-06-25T13:20:23,0.21277777777777776,0.2977777777777778,0.4227777777777778,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.21277777777777776,0.2977777777777778,0.4227777777777778,Buy,0.4666666666666667,0.3666666666666667,0.16666666666666666,0.6,0.4420444444444444,,,,
583335f4-394a-43aa-9873-9abd30d5ea8f,0.6,0.0,0.4,2025-06-25T16:26:00,0.21277777777777776,0.2977777777777778,0.4227777777777778,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.21277777777777776,0.2977777777777778,0.4227777777777778,Buy,0.4666666666666667,0.3666666666666667,0.16666666666666666,1.0,0.4420444444444444,,,,
